School_ID;Name;Places_19_20;Reg_19_20;Reg_ESB_19_20;Aufnahme_19_20;Ablehnung_19_20;Places_20_21;Reg_20_21;Reg_ESB_20_21;Aufnahme_20_21;Ablehnung_20_21
07G15;Fläming-Grundschule;100;99;74;74;;100;142;65;65;
07G16;Ruppin-Grundschule;104;92;83;82;1;104;130;76;76;
07G17;Stechlinsee-Grundschule;106;97;81;81;;93;114;77;77;
07G18;Grundschule am Barbarossaplatz;47;44;45;44;1;43;50;33;33;
07G19;Paul-Simmel-Grundschule;110;118;88;88;;115;194;89;89;
07G20;Maria-Montessori-Grundschule;79;72;60;60;;78;97;58;58;
07G21;Grundschule auf dem Tempelhofer Feld;100;74;71;71;;100;124;85;85;
07G22;Paul-Klee-Grundschule;108;108;82;82;;89;126;57;57;
07G23;Schätzelberg-Grundschule;50;48;41;41;;50;84;42;42;
07G24;Tempelherren-Grundschule;50;36;29;29;;50;53;22;22;
07G25;Mascha-Kaleko-Grundschule;75;50;41;41;;75;92;44;44;
07G26;Grundschule im Taunusviertel;50;33;28;28;;100;124;68;68;
07G27;Rudolf-Hildebrand-Grundschule;100;68;52;52;;100;112;56;56;
07G28;Kiepert-Grundschule;75;52;50;50;;75;127;61;60;1
07G29;Käthe-Kollwitz-Grundschule;78;72;67;67;;104;118;86;86;
07G30;Annedore-Leber-Grundschule;100;57;51;51;;100;112;71;71;
07G31;Carl-Sonnenschein-Grundschule;78;68;59;58;1;78;92;54;54;
07G32;Bruno-H.-Bürgel-Grundschule;75;45;45;45;;75;104;58;57;1
