,SchulNr,Unnamed: 1,Name,Unnamed: 3,Schulart,Unnamed: 5,Bezirk,Unnamed: 7,Ortsteil,Unnamed: 9,Unnamed: 10,url
21,01P18,,Bilinguale Schule Phorms Berlin Mitte,,Kombinierte allgemein bildende Schule,,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21786
22,01G35,,Humboldthain-Grundschule,,Grundschule,,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=22405
23,01K06,,Herbert-Hoover-Schule (Integrierte Sekundarschule),,Integrierte Sekundarschule,,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21779
24,01G31,,Wedding-Grundschule,,Grundschule,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21718
25,01G31,,Wedding-Grundschule,,Grundschule,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21719
26,01G05,,Grundschule Neues Tor,,Grundschule,,Mitte,,Mitte,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21644
27,01K09,,Hedwig-Dohm-Schule (Integrierte Sekundarschule),,Integrierte Sekundarschule,,Mitte,,Moabit,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21734
28,01P07,,Lazarus Schulen der Hoffnungstaler Stiftung Lobetal,,Kombinierte berufliche Schule,,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21956
29,01P07,,Lazarus Schulen der Hoffnungstaler Stiftung Lobetal,,Kombinierte berufliche Schule,,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21957
30,01P07,,Lazarus Schulen der Hoffnungstaler Stiftung Lobetal,,Kombinierte berufliche Schule,,Mitte,,Gesundbrunnen,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21958
31,01S05,,Schule in der Charité,,Übrige Förderschwerpunkte,,Mitte,,Wedding,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21693
32,01B01,,"OSZ Banken, Immobilien und Versicherungen",,Oberstufenzentrum,,Mitte,,Moabit,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21749
33,01B01,,"OSZ Banken, Immobilien und Versicherungen",,Oberstufenzentrum,,Mitte,,Moabit,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21750
34,01B01,,"OSZ Banken, Immobilien und Versicherungen",,Oberstufenzentrum,,Mitte,,Moabit,,,https://www.berlin.de/sen/bildung/schule/berliner-schulen/schulverzeichnis/Schulportrait.aspx?IDSchulzweig=21751
